Sensor,Date_Time,Date,Time,Count
Royal Pde - Grattan St,2020-07-07T18:00:00Z,2020-07-08,4,2
Bourke Street Mall (North),2020-07-07T19:00:00Z,2020-07-08,5,28
Bourke Street Mall (South),2020-07-07T19:00:00Z,2020-07-08,5,10
Melbourne Central,2020-07-07T19:00:00Z,2020-07-08,5,54
Town Hall (West),2020-07-07T19:00:00Z,2020-07-08,5,50
Princes Bridge,2020-07-07T19:00:00Z,2020-07-08,5,103
Flinders Street Station Underpass,2020-07-07T19:00:00Z,2020-07-08,5,109
Birrarung Marr,2020-07-07T19:00:00Z,2020-07-08,5,17
Webb Bridge,2020-07-07T19:00:00Z,2020-07-08,5,22
Southern Cross Station,2020-07-07T19:00:00Z,2020-07-08,5,47
Victoria Point,2020-07-07T19:00:00Z,2020-07-08,5,6
Waterfront City,2020-07-07T19:00:00Z,2020-07-08,5,3
New Quay,2020-07-07T19:00:00Z,2020-07-08,5,16
Flagstaff Station,2020-07-07T19:00:00Z,2020-07-08,5,NA
Sandridge Bridge,2020-07-07T19:00:00Z,2020-07-08,5,4
State Library,2020-07-07T19:00:00Z,2020-07-08,5,NA
Collins St (North),2020-07-07T19:00:00Z,2020-07-08,5,30
Collins Place (South),2020-07-07T19:00:00Z,2020-07-08,5,43
Collins Place (North),2020-07-07T19:00:00Z,2020-07-08,5,6
Chinatown-Swanston St (North),2020-07-07T19:00:00Z,2020-07-08,5,17
Chinatown-Lt Bourke St (South),2020-07-07T19:00:00Z,2020-07-08,5,8
Bourke St-Russell St (West),2020-07-07T19:00:00Z,2020-07-08,5,NA
Flinders St-Elizabeth St (East),2020-07-07T19:00:00Z,2020-07-08,5,143
Spencer St-Collins St (South),2020-07-07T19:00:00Z,2020-07-08,5,23
Spencer St-Collins St (North),2020-07-07T19:00:00Z,2020-07-08,5,103
Melbourne Convention Exhibition Centre,2020-07-07T19:00:00Z,2020-07-08,5,40
QV Market-Elizabeth St (West),2020-07-07T19:00:00Z,2020-07-08,5,41
QV Market-Peel St,2020-07-07T19:00:00Z,2020-07-08,5,3
The Arts Centre,2020-07-07T19:00:00Z,2020-07-08,5,86
St Kilda Rd-Alexandra Gardens,2020-07-07T19:00:00Z,2020-07-08,5,15
Lonsdale St (South),2020-07-07T19:00:00Z,2020-07-08,5,22
Lygon St (West),2020-07-07T19:00:00Z,2020-07-08,5,26
City Square,2020-07-07T19:00:00Z,2020-07-08,5,NA
Flinders St-Spring St (West),2020-07-07T19:00:00Z,2020-07-08,5,NA
Flinders St-Spark La,2020-07-07T19:00:00Z,2020-07-08,5,16
Southbank,2020-07-07T19:00:00Z,2020-07-08,5,18
Queen St (West),2020-07-07T19:00:00Z,2020-07-08,5,20
Lygon St (East),2020-07-07T19:00:00Z,2020-07-08,5,9
Alfred Place,2020-07-07T19:00:00Z,2020-07-08,5,3
Lonsdale St-Spring St (West),2020-07-07T19:00:00Z,2020-07-08,5,11
Grattan St-Swanston St (West),2020-07-07T19:00:00Z,2020-07-08,5,14
Monash Rd-Swanston St (West),2020-07-07T19:00:00Z,2020-07-08,5,7
Tin Alley-Swanston St (West),2020-07-07T19:00:00Z,2020-07-08,5,NA
Little Collins St-Swanston St (East),2020-07-07T19:00:00Z,2020-07-08,5,16
Flinders La-Swanston St (West),2020-07-07T19:00:00Z,2020-07-08,5,145
Pelham St (South),2020-07-07T19:00:00Z,2020-07-08,5,5
Melbourne Central-Elizabeth St (East),2020-07-07T19:00:00Z,2020-07-08,5,69
QVM-Queen St (East),2020-07-07T19:00:00Z,2020-07-08,5,8
QVM-Therry St (South),2020-07-07T19:00:00Z,2020-07-08,5,22
Faraday St-Lygon St (West),2020-07-07T19:00:00Z,2020-07-08,5,9
QVM-Franklin St (North),2020-07-07T19:00:00Z,2020-07-08,5,20
Elizabeth St-Lonsdale St (South),2020-07-07T19:00:00Z,2020-07-08,5,14
Lincoln-Swanston (W),2020-07-07T19:00:00Z,2020-07-08,5,NA
Elizabeth St-La Trobe St (East),2020-07-07T19:00:00Z,2020-07-08,5,NA
Lonsdale St - Elizabeth St (North),2020-07-07T19:00:00Z,2020-07-08,5,11
Bourke St Bridge,2020-07-07T19:00:00Z,2020-07-08,5,24
